Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9866802962788028
mvtec_cable,0.9938423645320197,0.9844508460992031
mvtec_capsule,0.9530632411067194,0.9903654561446144
mvtec_carpet,0.9988290398126464,0.9916218094682706
mvtec_grid,0.989247311827957,0.9861920823970185
mvtec_hazelnut,1.0,0.9897127254919874
mvtec_leather,1.0,0.9937685016837758
mvtec_metal_nut,0.9993597951344431,0.876569226686187
mvtec_pill,0.9715719063545151,0.9803758131180399
mvtec_screw,0.9484160358844967,0.9939908360818783
mvtec_tile,0.994535519125683,0.9622334270550218
mvtec_toothbrush,1.0,0.9864425870709205
mvtec_transistor,0.9956140350877193,0.9411150960547489
mvtec_wood,0.9839181286549707,0.9513137251602435
mvtec_zipper,0.9756578947368421,0.9889713772202
Mean,0.9869370181505343,0.9735869204007273
