Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9861810149694122
mvtec_cable,0.9938697318007662,0.9838392844484395
mvtec_capsule,0.9589597724502235,0.9888227639195584
mvtec_carpet,0.9880952380952381,0.9911004790384778
mvtec_grid,0.9939393939393939,0.9869208835256715
mvtec_hazelnut,1.0,0.9877269046532372
mvtec_leather,1.0,0.9918880090039558
mvtec_metal_nut,0.9975024975024975,0.9833122587880481
mvtec_pill,0.9446596568898727,0.978066837402834
mvtec_screw,0.9455424726661059,0.9939753768562148
mvtec_tile,0.9959349593495934,0.9552039646202015
mvtec_toothbrush,0.9972222222222222,0.9854898213983001
mvtec_transistor,0.9991228070175439,0.9592249439057093
mvtec_wood,0.9882032667876588,0.9497025494444407
mvtec_zipper,0.9799679487179487,0.9880145567498617
Mean,0.9855346644959376,0.9806313099149574
