Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9844798327851036
mvtec_cable,0.9941904047976012,0.983368843854945
mvtec_capsule,0.9641005185480656,0.988801582716079
mvtec_carpet,0.9871589085072232,0.9908134053751918
mvtec_grid,0.9799498746867168,0.9871961068350161
mvtec_hazelnut,1.0,0.9869843801575607
mvtec_leather,1.0,0.992829959814994
mvtec_metal_nut,0.9975562072336266,0.983416395132496
mvtec_pill,0.9629023458810693,0.9773934699783801
mvtec_screw,0.9503996720639475,0.9936727751147244
mvtec_tile,0.9917027417027418,0.9561752959006321
mvtec_toothbrush,0.9972222222222222,0.9854898213983001
mvtec_transistor,1.0,0.9626999869083032
mvtec_wood,0.9894736842105263,0.9496494605278868
mvtec_zipper,0.9768907563025211,0.9879187518142346
Mean,0.9861031557437506,0.9807260045542565
