Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9866182870326378
mvtec_cable,0.9950738916256157,0.9839856561618319
mvtec_capsule,0.9525691699604744,0.9902613609320807
mvtec_carpet,0.9988290398126464,0.9915120518265467
mvtec_grid,0.9953917050691243,0.9867834015999796
mvtec_hazelnut,1.0,0.9894412731014856
mvtec_leather,1.0,0.993741724676281
mvtec_metal_nut,0.9980793854033291,0.8787510299149638
mvtec_pill,0.9672240802675586,0.9801140726042642
mvtec_screw,0.9500981216708718,0.9947472288222206
mvtec_tile,0.9885742672627919,0.963229810557872
mvtec_toothbrush,1.0,0.9863027984078347
mvtec_transistor,0.9912280701754386,0.9492453177186593
mvtec_wood,0.9853801169590644,0.9517469228748794
mvtec_zipper,0.975328947368421,0.9890868292458072
Mean,0.9865184530383556,0.9743711843651561
