Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9842832721644315
mvtec_cable,0.9897688518378174,0.9835880742871085
mvtec_capsule,0.9593397745571659,0.9887862374797262
mvtec_carpet,0.9902597402597403,0.991458134712087
mvtec_grid,0.9787414965986394,0.9872995028685498
mvtec_hazelnut,1.0,0.9868210726635942
mvtec_leather,1.0,0.991669404749646
mvtec_metal_nut,0.9975296442687748,0.9837019264845175
mvtec_pill,0.9615384615384616,0.9784535604173614
mvtec_screw,0.9524596940884662,0.9935079977270009
mvtec_tile,0.9919678714859437,0.9559280081994176
mvtec_toothbrush,0.9972222222222222,0.9854898213983001
mvtec_transistor,1.0,0.9602341702644928
mvtec_wood,0.9884032114183765,0.9493938468181019
mvtec_zipper,0.9766949152542372,0.9880133493865161
Mean,0.9855950589019895,0.9805752253080569
