Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9900728670735299
mvtec_cable,0.9909409701928696,0.9866533890587652
mvtec_capsule,0.9632975719932242,0.9904142474220473
mvtec_carpet,1.0,0.9939275318065216
mvtec_grid,0.9947089947089947,0.9942788036223807
mvtec_hazelnut,1.0,0.993460338752442
mvtec_leather,1.0,0.9939589953839584
mvtec_metal_nut,0.9984848484848484,0.8773371602015068
mvtec_pill,0.9603960396039604,0.9795788875136915
mvtec_screw,0.9608381999312952,0.9951379317075715
mvtec_tile,0.9981818181818183,0.9572526287539777
mvtec_toothbrush,0.9920634920634921,0.9865653105540566
mvtec_transistor,0.9833333333333333,0.8789454835904325
mvtec_wood,0.9931350114416476,0.9543416065093862
mvtec_zipper,0.9679969879518073,0.9889770979686605
Mean,0.9868918178591527,0.9707268186612618
