Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9865834088935289
mvtec_cable,0.9921182266009853,0.9838387027794132
mvtec_capsule,0.9580039525691699,0.9903889125020474
mvtec_carpet,0.9988290398126464,0.9915229776155634
mvtec_grid,0.9969278033794162,0.9862593307873267
mvtec_hazelnut,1.0,0.9897926593242203
mvtec_leather,1.0,0.993638735391556
mvtec_metal_nut,0.9974391805377721,0.8754881125982656
mvtec_pill,0.9678929765886287,0.9806729108645451
mvtec_screw,0.9545836837678722,0.9945721705597655
mvtec_tile,0.9935419771485345,0.9622884882716181
mvtec_toothbrush,0.9930555555555555,0.9867762142787941
mvtec_transistor,0.9903508771929824,0.9464286954803323
mvtec_wood,0.9883040935672515,0.9523303786599873
mvtec_zipper,0.9750000000000001,0.9889646697604814
Mean,0.9870698244480544,0.973969757851163
